                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.64066,                 2.2908,                 1.3317,                0.21955,                0.16355,                0.07173,                0.02733,                 2.4282,                 9.5298,                 2.9317,             0.00025339,             0.00025339,             0.00025339
                      2,                0.74781,                 1.8893,                 1.3938,                0.21642,                0.13568,                0.05657,                0.02873,                    nan,                    nan,                    nan,             0.00049963,             0.00049963,             0.00049963
                      3,                0.77299,                  1.898,                 1.4266,                0.21375,                0.26077,                0.08689,                0.03521,                 2.2489,                 6.4089,                  3.208,             0.00073572,             0.00073572,             0.00073572
                      4,                0.75863,                 1.8285,                 1.4167,                 0.3254,                0.41668,                0.28826,                0.19014,                  1.626,                 44.941,                 2.3325,             0.00072332,             0.00072332,             0.00072332
                      5,                0.70364,                 1.6944,                 1.3822,                0.35308,                0.42557,                0.30159,                0.19782,                 1.3547,                 2.4401,                 1.9137,              0.0007081,              0.0007081,              0.0007081
                      6,                0.68635,                 1.6559,                  1.367,                0.45235,                0.44634,                0.39501,                0.29524,                 1.1312,                 2.3812,                 1.6808,             0.00069287,             0.00069287,             0.00069287
                      7,                0.66721,                 1.5789,                 1.3575,                 0.5296,                0.53127,                0.50857,                0.42574,                0.86862,                 1.6719,                 1.5142,             0.00067764,             0.00067764,             0.00067764
                      8,                0.66383,                 1.5519,                 1.3588,                0.59203,                0.51966,                0.51588,                0.41407,                 1.0218,                 1.6674,                 1.6315,             0.00066242,             0.00066242,             0.00066242
                      9,                0.61954,                 1.4904,                 1.3299,                0.75585,                 0.4606,                 0.5401,                0.44221,                0.88785,                 1.6419,                 1.4994,             0.00064719,             0.00064719,             0.00064719
                     10,                0.62689,                 1.4549,                 1.3334,                 0.5519,                0.59136,                0.54784,                0.44564,                0.98501,                 1.5013,                 1.5575,             0.00063196,             0.00063196,             0.00063196
                     11,                0.60689,                  1.429,                 1.3159,                0.55553,                0.61176,                0.57045,                0.46756,                0.85742,                 1.4163,                 1.5003,             0.00061674,             0.00061674,             0.00061674
                     12,                0.57551,                 1.3846,                  1.294,                0.61605,                0.62816,                0.57037,                 0.4655,                0.88856,                  1.411,                 1.4283,             0.00060151,             0.00060151,             0.00060151
