                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.35737,                0.42224,                 1.0922,                0.94593,                0.90093,                 0.9499,                0.84472,                0.53275,                0.45728,                0.96911,             0.00030146,             0.00030146,             0.00030146
                      2,                0.38876,                0.47668,                 1.1156,                0.91576,                0.87915,                0.93095,                0.80922,                0.56461,                0.51532,                 1.0489,             0.00059449,             0.00059449,             0.00059449
                      3,                0.41911,                0.53064,                 1.1364,                0.86809,                0.83529,                0.93639,                0.80636,                0.59645,                0.60929,                 1.0369,             0.00087752,             0.00087752,             0.00087752
                      4,                0.42975,                0.57679,                 1.1441,                0.90334,                0.86214,                0.92118,                0.80222,                0.55381,                0.53778,                 1.0226,               0.000864,               0.000864,               0.000864
                      5,                0.43269,                0.55212,                 1.1509,                0.85853,                0.84232,                0.89346,                0.77088,                0.60626,                0.69722,                 1.0383,             0.00084901,             0.00084901,             0.00084901
                      6,                0.42953,                0.55077,                 1.1482,                0.91484,                0.85416,                0.91409,                 0.7915,                0.57867,                0.53564,                 1.0396,             0.00083401,             0.00083401,             0.00083401
                      7,                0.42417,                0.58529,                 1.1457,                0.92171,                0.88952,                0.95074,                0.83254,                 0.5163,                 0.5218,                0.95867,             0.00081901,             0.00081901,             0.00081901
                      8,                0.42405,                0.54789,                 1.1464,                0.92777,                 0.8489,                0.93069,                0.79446,                0.59945,                0.57794,                 1.0495,             0.00080401,             0.00080401,             0.00080401
                      9,                0.42276,                0.54003,                 1.1395,                 0.8849,                0.89902,                0.93029,                0.80366,                0.54089,                0.54041,                0.97266,             0.00078901,             0.00078901,             0.00078901
                     10,                0.40615,                0.52362,                 1.1313,                0.87465,                0.89586,                   0.93,                0.79671,                0.60193,                0.54164,                 1.0567,             0.00077401,             0.00077401,             0.00077401
                     11,                0.40618,                0.50503,                 1.1276,                0.88569,                0.88539,                0.93237,                 0.8169,                0.54304,                0.55624,                0.98786,             0.00075902,             0.00075902,             0.00075902
                     12,                0.40428,                0.50034,                 1.1222,                 0.8958,                0.89107,                0.93573,                0.81006,                0.59624,                0.55367,                 1.0404,             0.00074402,             0.00074402,             0.00074402
                     13,                0.40852,                0.49978,                 1.1326,                0.92139,                  0.914,                0.95728,                0.82294,                0.59915,                0.51037,                 1.0461,             0.00072902,             0.00072902,             0.00072902
                     14,                 0.3968,                0.48775,                 1.1229,                0.90279,                0.89997,                0.94745,                0.82733,                0.57807,                0.43826,                 1.0128,             0.00071402,             0.00071402,             0.00071402
                     15,                0.38724,                0.48978,                 1.1202,                0.95141,                0.91724,                0.94986,                 0.8382,                0.52925,                0.45754,                0.97216,             0.00069902,             0.00069902,             0.00069902
                     16,                0.38479,                0.48379,                   1.11,                0.90732,                0.91806,                0.95612,                0.83717,                0.54378,                0.45383,                0.97181,             0.00068402,             0.00068402,             0.00068402
                     17,                0.39499,                0.46643,                 1.1185,                0.90762,                0.89589,                0.94545,                0.83057,                 0.5472,                0.50151,                0.99456,             0.00066902,             0.00066902,             0.00066902
                     18,                0.38538,                0.46543,                 1.1121,                0.94011,                 0.8672,                0.94291,                0.83561,                0.51725,                0.49695,                0.95645,             0.00065403,             0.00065403,             0.00065403
                     19,                0.37626,                0.45061,                 1.1059,                0.91693,                0.87746,                0.94554,                0.83406,                0.52026,                 0.4482,                0.96415,             0.00063903,             0.00063903,             0.00063903
                     20,                 0.3844,                0.44676,                 1.1028,                0.94598,                0.90068,                0.95003,                0.84451,                0.51235,                0.46731,                0.96187,             0.00062403,             0.00062403,             0.00062403
                     21,                0.36845,                0.43206,                 1.0974,                0.91348,                0.91424,                0.95434,                0.84754,                0.54654,                0.46457,                0.98594,             0.00060903,             0.00060903,             0.00060903
                     22,                0.38489,                0.43937,                 1.1095,                0.89517,                0.89139,                0.93103,                0.83275,                0.53214,                0.49266,                0.95648,             0.00059403,             0.00059403,             0.00059403
                     23,                0.37987,                0.43331,                 1.0973,                0.90627,                0.90381,                0.93647,                0.82871,                0.52583,                0.50589,                0.95598,             0.00057903,             0.00057903,             0.00057903
                     24,                0.37364,                0.43819,                 1.1057,                0.93985,                 0.8848,                0.94004,                0.83328,                0.54866,                0.47104,                0.98045,             0.00056403,             0.00056403,             0.00056403
                     25,                0.36642,                0.42203,                 1.0958,                0.92274,                0.91289,                0.94979,                0.84444,                0.53882,                0.43019,                0.96233,             0.00054904,             0.00054904,             0.00054904
                     26,                0.36165,                0.42368,                 1.0935,                0.90454,                0.89289,                0.94423,                0.83636,                0.53915,                0.47075,                0.99153,             0.00053404,             0.00053404,             0.00053404
                     27,                0.36105,                0.41241,                 1.0856,                0.91842,                0.91219,                0.95278,                0.84388,                0.51124,                0.44406,                0.95269,             0.00051904,             0.00051904,             0.00051904
                     28,                0.35449,                0.40873,                 1.0877,                0.91378,                0.90657,                 0.9474,                0.83002,                0.55012,                0.46499,                0.97784,             0.00050404,             0.00050404,             0.00050404
                     29,                0.35924,                0.40329,                 1.0856,                0.92814,                0.89717,                0.94248,                0.84061,                0.50552,                0.47083,                0.96885,             0.00048904,             0.00048904,             0.00048904
                     30,                0.35702,                0.39991,                 1.0857,                 0.9307,                0.90532,                0.95719,                0.85528,                 0.4941,                0.42478,                0.93235,             0.00047404,             0.00047404,             0.00047404
                     31,                0.35528,                0.40213,                 1.0883,                0.93565,                0.89837,                 0.9447,                0.84754,                0.49729,                0.43511,                0.92681,             0.00045904,             0.00045904,             0.00045904
                     32,                0.34302,                0.38122,                  1.074,                0.91528,                0.91621,                0.94719,                0.84659,                0.52107,                0.41925,                0.96293,             0.00044405,             0.00044405,             0.00044405
                     33,                0.34441,                 0.3785,                 1.0807,                0.91473,                0.92807,                 0.9536,                0.85393,                0.50816,                 0.4006,                0.95216,             0.00042905,             0.00042905,             0.00042905
                     34,                0.34078,                0.36878,                 1.0674,                0.93434,                0.91226,                0.94694,                0.84543,                0.51684,                0.43184,                 0.9805,             0.00041405,             0.00041405,             0.00041405
                     35,                0.34305,                0.37172,                 1.0755,                0.94221,                0.90276,                0.95196,                0.85471,                0.51473,                0.41594,                0.94078,             0.00039905,             0.00039905,             0.00039905
                     36,                0.32921,                0.36681,                 1.0654,                0.92839,                0.90152,                0.94133,                0.84057,                0.53532,                0.41325,                0.98411,             0.00038405,             0.00038405,             0.00038405
                     37,                0.32833,                 0.3512,                 1.0588,                0.92179,                0.92389,                0.94467,                0.84002,                0.51773,                 0.4672,                0.95648,             0.00036905,             0.00036905,             0.00036905
                     38,                0.32839,                0.35871,                 1.0603,                0.90415,                0.89479,                0.94371,                0.83314,                0.52157,                0.43202,                0.95989,             0.00035406,             0.00035406,             0.00035406
                     39,                0.33839,                0.36466,                 1.0677,                0.93176,                0.90489,                 0.9465,                0.84728,                0.49289,                0.42389,                0.94541,             0.00033906,             0.00033906,             0.00033906
                     40,                0.31914,                0.34469,                 1.0519,                0.92998,                0.92105,                0.94435,                 0.8454,                0.49722,                0.42604,                 0.9607,             0.00032406,             0.00032406,             0.00032406
                     41,                0.32076,                0.34087,                  1.057,                0.91836,                0.92193,                0.95257,                  0.855,                 0.4961,                0.42007,                0.94002,             0.00030906,             0.00030906,             0.00030906
